title,parent_task,max_xp
C3_SimpleBashUtils,,350
C2_s21_stringplus,C3_SimpleBashUtils,750
C4_s21_math,C3_SimpleBashUtils,300
C5_s21_decimal,C3_SimpleBashUtils,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,650
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,1043
DO1_Linux,C2_s21_stringplus,300
DO2_LinuxNetwork,DO1_Linux,350
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,501
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,402
SQL2_Info21_v1.0,C8_3DViewer_v1.0,600
SQL3_RetailAnalytics_v1.0,SQL2_Info21_v1.0,600
CPP1_s21_matrixplus,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrixplus,501
CPP3_SmartCalc_v2.0,CPP2_s21_containers,750
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,1043
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300